pool,bucket,pool_type,pool_address,astroport_tvl_usd,astroport_day_volume_usd,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok
LUNA-wSOL.wh,bluechip,concentrated,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,764.74,0.00,764.74,184,false,false,true
ATOM-stATOM,single,concentrated,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,634.66,0.00,634.66,184,false,false,true
LUNA-wBNB.axl,bluechip,concentrated,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,495.44,0.00,495.44,184,false,true,true
WBTC.axl-WBTC.osmo,single,stable,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,415.19,17.03,414.60,184,false,false,true
SWTH-rSWTH,single,xyk,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,393.26,0.00,393.26,184,false,false,true
LUNA-WBTC,bluechip,concentrated,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,54.05,0.00,53.72,184,false,true,true
LUNA-wstETH,bluechip,concentrated,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,53.26,3.79,49.89,184,false,false,true
LUNA-wBNB.wh,bluechip,concentrated,terra1v3xmc8nn8h8e7z55d80a72g4rgz6mrxyasxq089k8n6m40xldlksf2w5x8,30.70,0.00,30.70,184,false,false,true
WHALE-ampWHALE,single,xyk,terra129hvq9mgqtye4kg0cfmv9z6sq5f7sgpmrspr72968xx20gx4t2rqvpue0z,5.23,0.00,5.23,184,false,false,true
WHALE-bWHALE,single,xyk,terra18hhsyrjac6hud4tc9q05s8em35utm6jndswhw5v56lh5ld37ml6secl2rd,5.16,0.00,5.16,184,false,false,true
LUNA-WHALE,project,concentrated,terra1a6d0lcvfzyllulaaazzg5j70yn4m3e2t90shtlxsr3fwhcg34g2sgwfr75,3.88,0.00,3.88,184,false,false,true
