period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,190,940162.05,24715.13,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,190,390420.72,37820.82,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,190,343997.92,5261.93,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,190,232235.02,9322.59,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,190,167905.05,443.19,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,190,141456.63,2897.07,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,190,84508.61,777.85,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,190,81270.76,3171.73,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,project,190,54900.58,327.99,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,bluechip,190,47248.17,1778.09,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,project,190,53004.69,146.92,11,8,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,190,41275.94,2474.93,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,bluechip,190,31455.40,360.56,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,single,190,29332.99,141.82,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,project,190,32697.38,186.21,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-USDT,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,stable,190,20885.70,280.98,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-SOLID,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,stable,190,10905.57,184.57,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-ASTRO,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,project,190,9788.83,688.11,11,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-arbLUNA,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,single,190,0.00,20.89,0,10,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,ATOM-dATOM,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,single,190,0.00,781.51,0,11,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-stLUNA,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,project,190,6087.94,0.05,11,1,sparse-volume,false
2026-epoch-187,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-bLUNA,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,project,187,6960.20,13.70,9,6,stable,false
2026-epoch-188,2026-06-23,2026-06-23,1,7,true,astroport,wstETH-WETH.axl,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,single,188,897.04,7.10,11,5,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-SWTH,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,project,190,0.00,9.62,0,10,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-WBTC.axl,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,bluechip,190,648.56,27.27,11,5,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-wSOL.wh,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,bluechip,,0.00,0.00,0,0,,false
2026-epoch-187,2026-06-23,2026-06-23,1,7,true,astroport,ATOM-stATOM,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,single,187,0.00,10.67,0,5,stable,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,SWTH-rSWTH,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,single,,0.00,0.00,0,0,,false
2026-epoch-190,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-wBNB.axl,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,bluechip,190,0.00,0.08,0,1,sparse-volume,false
2026-epoch-188,2026-06-23,2026-06-23,1,7,true,astroport,WBTC.axl-WBTC.osmo,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,single,188,0.00,11.34,0,11,stable,false
2026-epoch-189,2026-06-23,2026-06-23,1,7,true,astroport,LUNA-WBTC,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,bluechip,189,0.00,0.09,0,2,sparse-volume,false
