period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,192,864511.41,20684.65,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,192,384482.96,25409.02,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,192,274916.14,4098.81,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,192,247458.57,1144.57,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,192,167883.03,1908.57,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,192,163406.93,463.80,11,10,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,192,89575.77,570.67,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,192,84457.64,2200.88,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,bluechip,192,48639.07,1101.23,11,11,stable,false
2026-epoch-192,2026-07-11,2026-07-11,1,7,true,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,192,49852.81,996.72,11,11,stable,false
