period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,191,884579.05,41596.55,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,191,398891.24,48699.62,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,191,293021.21,5695.24,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,191,246935.75,2766.48,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,191,164275.65,3980.13,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,191,164900.89,1069.75,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,191,88064.07,444.06,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,191,82832.11,3390.71,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,project,191,52340.66,106.35,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,191,46983.52,1428.92,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,project,191,48747.59,37.25,11,6,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,bluechip,191,49405.47,1820.81,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,bluechip,191,36372.16,917.00,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,single,191,33179.82,294.57,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,project,191,30376.68,117.92,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-USDT,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,stable,191,22674.89,561.34,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-SOLID,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,stable,191,10583.59,234.61,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-ASTRO,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,project,191,9122.32,1821.24,11,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-arbLUNA,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,single,191,0.00,45.58,0,11,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,ATOM-dATOM,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,single,191,0.00,309.46,0,11,stable,false
2026-epoch-189,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-bLUNA,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,project,189,0.00,86.10,0,5,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-stLUNA,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,project,191,5511.99,4.94,11,1,sparse-volume,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,wstETH-WETH.axl,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,single,191,0.00,5.60,0,3,sparse-volume,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-SWTH,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,project,191,0.00,24.75,0,10,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-WBTC.axl,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,bluechip,191,0.00,14.13,0,6,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,ATOM-stATOM,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,single,191,0.00,0.20,0,4,sparse-volume,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-wBNB.axl,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,bluechip,191,0.00,0.17,0,2,sparse-volume,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,SWTH-rSWTH,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,single,,0.00,0.00,0,0,,false
2026-epoch-188,2026-07-02,2026-07-02,1,7,true,astroport,WBTC.axl-WBTC.osmo,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,single,188,0.00,9.75,0,7,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-wSOL.wh,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,bluechip,191,69.01,1.99,2,1,sparse-volume,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-WBTC,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,bluechip,191,0.00,0.02,0,3,sparse-volume,false
2026-epoch-190,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-wstETH,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,bluechip,190,0.00,0.27,0,5,stable,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-wBNB.wh,terra1v3xmc8nn8h8e7z55d80a72g4rgz6mrxyasxq089k8n6m40xldlksf2w5x8,bluechip,,0.00,0.00,0,0,,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,WHALE-ampWHALE,terra129hvq9mgqtye4kg0cfmv9z6sq5f7sgpmrspr72968xx20gx4t2rqvpue0z,single,,0.00,0.00,0,0,,false
2026-epoch-191,2026-07-02,2026-07-02,1,7,true,astroport,WHALE-bWHALE,terra18hhsyrjac6hud4tc9q05s8em35utm6jndswhw5v56lh5ld37ml6secl2rd,single,,0.00,0.00,0,0,,false
2026-epoch-189,2026-07-02,2026-07-02,1,7,true,astroport,LUNA-WHALE,terra1a6d0lcvfzyllulaaazzg5j70yn4m3e2t90shtlxsr3fwhcg34g2sgwfr75,project,189,0.00,0.00,0,1,sparse-volume,false
